Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
BT1,Keystone_1058_1x2032-CoinCell,42.00,26.67,B,90.00,Battery_Cell
C25,0805,40.50,31.50,B,90.00,100nF
C26,0805,37.75,25.90,B,180.00,100nF
C34,0805,4.80,21.50,B,90.00,4.7uF
C35,0805,6.50,21.50,B,90.00,4.7uF
D8,0805,16.60,43.90,B,0.00,WHITE
DS1,ER-CON30HT,57.50,26.67,B,90.00,SSD1306
FID3,FID1mmDIA2.54mm,62.00,2.00,B,90.00,Fiducial-PCB
FID4,FID1mmDIA2.54mm,2.00,51.34,B,90.00,Fiducial-PCB
FID6,FID1mmDIA2.54mm,62.00,51.34,B,90.00,Fiducial-PCB
R18,0805,9.80,21.20,B,0.00,470
R32,0805,16.35,41.75,B,0.00,150
R33,0805,5.00,40.50,B,180.00,5.1K
R34,0805,5.00,46.00,B,180.00,5.1K
U6,LGA-12_2x2mm_P0.5mm,40.75,26.67,B,-90.00,BMA280
